koi_period,koi_duration,koi_depth,koi_prad,koi_sma,koi_incl,koi_teq,koi_srad,koi_smass,koi_kepmag,koi_disposition,mission,tmag_raw
9.48803557,2.9575,615.8,2.26,0.0853,89.66,793.0,0.927,0.919,15.347,CONFIRMED,kepler,
54.4183827,4.507,874.8,2.83,0.2734,89.57,443.0,0.927,0.919,15.347,CONFIRMED,kepler,
19.89913995,1.7822,10829.0,14.6,0.1419,88.96,638.0,0.868,0.961,15.436,CANDIDATE,kepler,
1.736952453,2.40641,8079.2,33.46,0.0267,67.09,1395.0,0.791,0.836,15.597,FALSE POSITIVE,kepler,
2.525591777,1.6545,603.3,2.75,0.0374,85.41,1406.0,1.046,1.095,15.509,CONFIRMED,kepler,
11.09432054,4.5945,1517.5,3.9,0.0992,88.11,835.0,0.972,1.053,15.714,CONFIRMED,kepler,
4.13443512,3.1402,686.0,2.77,0.0514,83.72,1160.0,0.972,1.053,15.714,CONFIRMED,kepler,
2.56658897,2.429,226.5,1.59,0.0374,82.17,1360.0,0.972,1.053,15.714,CONFIRMED,kepler,
7.36178958,5.022,233.7,39.21,0.082,60.92,1342.0,1.958,1.358,12.66,FALSE POSITIVE,kepler,
16.06864674,3.5347,4914.3,5.76,0.1158,89.92,600.0,0.848,0.801,15.841,CONFIRMED,kepler,
2.470613377,1.74319,14231.0,13.04,0.0354,84.41,1339.0,0.964,0.971,11.338,CONFIRMED,kepler,
2.204735417,3.88864,6674.7,16.1,0.0376,87.21,2048.0,1.952,1.449,10.463,CONFIRMED,kepler,
3.522498429,3.19843,9145.7,14.59,0.0473,85.2,1521.0,1.451,1.132,13.563,CONFIRMED,kepler,
3.709214104,2.6302,131.1,1.16,0.0465,89.73,1206.0,1.022,0.974,12.772,CONFIRMED,kepler,
11.521446064,3.6399,17984.0,150.51,0.0978,83.13,753.0,0.848,0.938,15.472,FALSE POSITIVE,kepler,
19.40393776,12.2155,8918.7,7.18,0.123,84.93,523.0,0.68,0.657,15.487,FALSE POSITIVE,kepler,
